"device_id","date","time","screen_status","bright_level","bright_mode","screen_on_time","bluetooth","gps","saving_mode","nfc","flashlight","airplane_mode","fingerprint","orientation","battery_level","battery_health","battery_charging_status","battery_connection_status","battery_temperature","battery_current","battery_voltage","battery_potency","battery_capacity","network_mode","mobile_mode","mobile_status","mobile_roaming","mobile_rx","mobile_tx","wifi_status","wifi_intensity","wifi_speed","wifi_ap","wifi_rx","wifi_tx","wifi_connection","network_operator","sim_operator","mcc","mnc","ring_mode","sound_level","playback_status","ram_capacity","ram_usage","ram_free","rom_capacity","rom_usage","rom_free","core_numbers","cpu_temperature","up_time","sleep_time","frequency_core0","frequency_core1","frequency_core2","frequency_core3","frequency_core4","frequency_core5","frequency_core6","frequency_core7"
"70a09b5174d07fff","08/12/2021","00:01:09","enabled","19","automatic","540","disabled","enabled","disabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","30.2","-0.411682","3.658","-1.505932756","6174.0","enabled","disabled","disabled","disabled","184330904","23757362","enabled","-59","325",,"433","325","192.168.0.16","","","null","null","silent","15","enabled","5643.0","2450.0","3193.0","110,549MB","19,643MB","90,905MB","8","37.0","22707","20357","1612.8","1612.8","1612.8","1612.8","1612.8","1612.8","652.8","652.8"
"70a09b5174d07fff","08/12/2021","00:01:11","enabled","19","automatic","541","disabled","enabled","disabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","30.2","-0.646362","3.658","-2.364392196","6174.0","enabled","disabled","disabled","disabled","184464345","23776328","enabled","-59","292",,"433","292","192.168.0.16","","","null","null","silent","15","enabled","5643.0","2438.0","3205.0","110,549MB","19,643MB","90,905MB","8","37.0","22709","20357","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","652.8","652.8"
"70a09b5174d07fff","08/12/2021","00:01:13","enabled","19","automatic","542","disabled","enabled","disabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","30.2","-0.541382","3.658","-1.980375356","6174.0","enabled","disabled","disabled","disabled","184584585","23798859","enabled","-59","292",,"433","292","192.168.0.16","","","null","null","silent","15","enabled","5643.0","2440.0","3203.0","110,549MB","19,643MB","90,905MB","8","37.0","22711","20357","1497.6","1497.6","1497.6","1497.6","1497.6","1497.6","652.8","652.8"
"70a09b5174d07fff","08/12/2021","00:01:16","enabled","19","automatic","543","disabled","enabled","disabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","30.2","-0.399475","3.658","-1.46127955","6174.0","enabled","disabled","disabled","disabled","184722994","23820696","enabled","-60","292",,"433","292","192.168.0.16","","","null","null","silent","15","enabled","5643.0","2445.0","3198.0","110,549MB","19,643MB","90,905MB","8","37.0","22714","20357","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","652.8","652.8"
"70a09b5174d07fff","08/12/2021","00:01:18","enabled","19","automatic","544","disabled","enabled","disabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","30.2","-0.45166","3.658","-1.65217228","6174.0","enabled","disabled","disabled","disabled","184847198","23842842","enabled","-59","325",,"433","325","192.168.0.16","","","null","null","silent","15","enabled","5643.0","2448.0","3195.0","110,549MB","19,643MB","90,905MB","8","37.0","22716","20357","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","652.8","652.8"
"70a09b5174d07fff","08/12/2021","00:01:20","enabled","19","automatic","545","disabled","enabled","disabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","30.2","-0.361328","3.658","-1.321737824","6174.0","enabled","disabled","disabled","disabled","184989824","23872278","enabled","-60","260",,"433","260","192.168.0.16","","","null","null","silent","15","enabled","5643.0","2452.0","3191.0","110,549MB","19,643MB","90,905MB","8","37.0","22718","20357","1612.8","1612.8","1612.8","1612.8","1612.8","1612.8","652.8","652.8"
"70a09b5174d07fff","08/12/2021","00:01:22","enabled","19","automatic","546","disabled","enabled","disabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","30.2","-0.31372","3.658","-1.14758776","6174.0","enabled","disabled","disabled","disabled","185136039","23892331","enabled","-60","260",,"433","260","192.168.0.16","","","null","null","silent","15","enabled","5643.0","2454.0","3189.0","110,549MB","19,643MB","90,905MB","8","37.0","22721","20357","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","652.8","652.8"
"70a09b5174d07fff","08/12/2021","00:01:25","enabled","19","automatic","547","disabled","enabled","disabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","30.2","-0.380859","3.658","-1.393182222","6174.0","enabled","disabled","disabled","disabled","185253544","23911205","enabled","-59","325",,"433","325","192.168.0.16","","","null","null","silent","15","enabled","5643.0","2454.0","3189.0","110,549MB","19,643MB","90,905MB","8","37.0","22723","20357","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","652.8","652.8"
"70a09b5174d07fff","08/12/2021","00:01:27","enabled","19","automatic","548","disabled","enabled","disabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","30.2","-0.360718","3.658","-1.319506444","6174.0","enabled","disabled","disabled","disabled","185390978","23934300","enabled","-59","325",,"390","325","192.168.0.16","","","null","null","silent","15","enabled","5643.0","2456.0","3187.0","110,549MB","19,643MB","90,905MB","8","37.0","22725","20357","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","652.8","652.8"
"70a09b5174d07fff","08/12/2021","00:01:29","enabled","19","automatic","549","disabled","enabled","disabled","disabled","false","disabled","available","landscape","9","good","discharging","unplugged","30.2","-0.360412","3.658","-1.318387096","6174.0","enabled","disabled","disabled","disabled","185519922","23953087","enabled","-60","325",,"433","325","192.168.0.16","","","null","null","silent","15","enabled","5643.0","2459.0","3184.0","110,549MB","19,643MB","90,905MB","8","37.0","22727","20357","1804.8","1804.8","1804.8","1804.8","1804.8","1804.8","652.8","652.8"
